width,height,className,classId,path
236,333,bart_simpson,2,dataset_000000.png
154,223,nelson_muntz,15,dataset_000001.png
187,294,kent_brockman,8,dataset_000002.png
219,281,ned_flanders,14,dataset_000003.png
278,384,principal_skinner,16,dataset_000004.png
243,337,principal_skinner,16,dataset_000005.png
154,209,abraham_grampa_simpson,0,dataset_000006.png
168,217,principal_skinner,16,dataset_000007.png
133,170,kent_brockman,8,dataset_000008.png
212,416,marge_simpson,11,dataset_000009.png
419,410,ned_flanders,14,dataset_000010.png
184,210,charles_montgomery_burns,3,dataset_000011.png
213,253,principal_skinner,16,dataset_000012.png
264,298,comic_book_guy,5,dataset_000013.png
296,290,homer_simpson,7,dataset_000014.png
166,222,marge_simpson,11,dataset_000015.png
222,326,bart_simpson,2,dataset_000016.png
250,348,edna_krabappel,6,dataset_000017.png
243,239,comic_book_guy,5,dataset_000018.png
225,341,charles_montgomery_burns,3,dataset_000019.png
272,471,chief_wiggum,4,dataset_000020.png
299,371,lisa_simpson,10,dataset_000021.png
236,322,kent_brockman,8,dataset_000022.png
220,381,bart_simpson,2,dataset_000023.png
145,254,bart_simpson,2,dataset_000024.png
219,341,comic_book_guy,5,dataset_000025.png
337,459,homer_simpson,7,dataset_000026.png
207,350,homer_simpson,7,dataset_000027.png
313,316,charles_montgomery_burns,3,dataset_000028.png
164,245,lisa_simpson,10,dataset_000029.png
217,394,krusty_the_clown,9,dataset_000030.png
359,302,krusty_the_clown,9,dataset_000031.png
313,448,bart_simpson,2,dataset_000032.png
358,261,edna_krabappel,6,dataset_000033.png
353,304,bart_simpson,2,dataset_000034.png
339,388,abraham_grampa_simpson,0,dataset_000035.png
442,428,kent_brockman,8,dataset_000036.png
135,153,lisa_simpson,10,dataset_000037.png
231,361,principal_skinner,16,dataset_000038.png
124,163,chief_wiggum,4,dataset_000039.png
238,449,marge_simpson,11,dataset_000040.png
332,456,marge_simpson,11,dataset_000041.png
291,420,ned_flanders,14,dataset_000042.png
211,296,lisa_simpson,10,dataset_000043.png
191,334,krusty_the_clown,9,dataset_000044.png
334,324,bart_simpson,2,dataset_000045.png
407,474,abraham_grampa_simpson,0,dataset_000046.png
257,337,bart_simpson,2,dataset_000047.png
191,252,krusty_the_clown,9,dataset_000048.png
181,285,ned_flanders,14,dataset_000049.png
159,275,bart_simpson,2,dataset_000050.png
218,355,bart_simpson,2,dataset_000051.png
135,237,chief_wiggum,4,dataset_000052.png
271,433,marge_simpson,11,dataset_000053.png
225,409,krusty_the_clown,9,dataset_000054.png
178,252,chief_wiggum,4,dataset_000055.png
232,298,chief_wiggum,4,dataset_000056.png
161,415,abraham_grampa_simpson,0,dataset_000057.png
274,395,homer_simpson,7,dataset_000058.png
141,180,lisa_simpson,10,dataset_000059.png
222,328,lisa_simpson,10,dataset_000060.png
210,367,ned_flanders,14,dataset_000061.png
138,282,abraham_grampa_simpson,0,dataset_000062.png
142,385,marge_simpson,11,dataset_000063.png
207,332,homer_simpson,7,dataset_000064.png
311,359,ned_flanders,14,dataset_000065.png
323,363,lisa_simpson,10,dataset_000066.png
166,290,lisa_simpson,10,dataset_000067.png
301,409,kent_brockman,8,dataset_000068.png
201,227,lisa_simpson,10,dataset_000069.png
141,205,edna_krabappel,6,dataset_000070.png
160,197,abraham_grampa_simpson,0,dataset_000071.png
171,255,moe_szyslak,13,dataset_000072.png
177,175,edna_krabappel,6,dataset_000073.png
255,350,nelson_muntz,15,dataset_000074.png
370,411,lisa_simpson,10,dataset_000075.png
199,294,chief_wiggum,4,dataset_000076.png
193,373,marge_simpson,11,dataset_000077.png
177,271,homer_simpson,7,dataset_000078.png
180,387,marge_simpson,11,dataset_000079.png
263,418,apu_nahasapeemapetilon,1,dataset_000080.png
203,405,marge_simpson,11,dataset_000081.png
121,134,chief_wiggum,4,dataset_000082.png
174,308,ned_flanders,14,dataset_000083.png
183,262,bart_simpson,2,dataset_000084.png
196,305,principal_skinner,16,dataset_000085.png
306,406,abraham_grampa_simpson,0,dataset_000086.png
149,208,milhouse_van_houten,12,dataset_000087.png
188,284,charles_montgomery_burns,3,dataset_000088.png
244,318,ned_flanders,14,dataset_000089.png
273,316,ned_flanders,14,dataset_000090.png
189,273,ned_flanders,14,dataset_000091.png
207,247,kent_brockman,8,dataset_000092.png
223,391,nelson_muntz,15,dataset_000093.png
137,130,krusty_the_clown,9,dataset_000094.png
322,433,homer_simpson,7,dataset_000095.png
162,198,charles_montgomery_burns,3,dataset_000096.png
155,342,edna_krabappel,6,dataset_000097.png
115,157,milhouse_van_houten,12,dataset_000098.png
144,339,edna_krabappel,6,dataset_000099.png
185,257,principal_skinner,16,dataset_000100.png
369,358,comic_book_guy,5,dataset_000101.png
196,403,abraham_grampa_simpson,0,dataset_000102.png
172,412,abraham_grampa_simpson,0,dataset_000103.png
180,250,moe_szyslak,13,dataset_000104.png
217,395,homer_simpson,7,dataset_000105.png
165,204,comic_book_guy,5,dataset_000106.png
187,185,kent_brockman,8,dataset_000107.png
160,194,abraham_grampa_simpson,0,dataset_000108.png
230,277,lisa_simpson,10,dataset_000109.png
154,242,ned_flanders,14,dataset_000110.png
275,299,apu_nahasapeemapetilon,1,dataset_000111.png
301,393,milhouse_van_houten,12,dataset_000112.png
207,338,charles_montgomery_burns,3,dataset_000113.png
215,393,apu_nahasapeemapetilon,1,dataset_000114.png
174,185,ned_flanders,14,dataset_000115.png
179,256,homer_simpson,7,dataset_000116.png
322,464,lisa_simpson,10,dataset_000117.png
244,331,krusty_the_clown,9,dataset_000118.png
272,343,lisa_simpson,10,dataset_000119.png
302,350,nelson_muntz,15,dataset_000120.png
225,412,kent_brockman,8,dataset_000121.png
235,310,chief_wiggum,4,dataset_000122.png
280,427,abraham_grampa_simpson,0,dataset_000123.png
277,334,marge_simpson,11,dataset_000124.png
257,264,kent_brockman,8,dataset_000125.png
219,420,homer_simpson,7,dataset_000126.png
283,337,bart_simpson,2,dataset_000127.png
196,466,abraham_grampa_simpson,0,dataset_000128.png
281,356,principal_skinner,16,dataset_000129.png
209,185,chief_wiggum,4,dataset_000130.png
187,292,edna_krabappel,6,dataset_000131.png
174,253,milhouse_van_houten,12,dataset_000132.png
198,227,lisa_simpson,10,dataset_000133.png
324,465,bart_simpson,2,dataset_000134.png
178,309,apu_nahasapeemapetilon,1,dataset_000135.png
326,275,charles_montgomery_burns,3,dataset_000136.png
163,232,comic_book_guy,5,dataset_000137.png
336,423,lisa_simpson,10,dataset_000138.png
197,429,homer_simpson,7,dataset_000139.png
370,407,bart_simpson,2,dataset_000140.png
332,325,marge_simpson,11,dataset_000141.png
197,267,ned_flanders,14,dataset_000142.png
176,150,edna_krabappel,6,dataset_000143.png
136,132,charles_montgomery_burns,3,dataset_000144.png
160,402,abraham_grampa_simpson,0,dataset_000145.png
219,310,principal_skinner,16,dataset_000146.png
184,149,ned_flanders,14,dataset_000147.png
228,319,principal_skinner,16,dataset_000148.png
270,352,chief_wiggum,4,dataset_000149.png
241,285,marge_simpson,11,dataset_000150.png
171,332,homer_simpson,7,dataset_000151.png
236,401,bart_simpson,2,dataset_000152.png
168,227,moe_szyslak,13,dataset_000153.png
431,421,comic_book_guy,5,dataset_000154.png
168,332,charles_montgomery_burns,3,dataset_000155.png
189,214,moe_szyslak,13,dataset_000156.png
248,441,homer_simpson,7,dataset_000157.png
267,313,marge_simpson,11,dataset_000158.png
226,285,moe_szyslak,13,dataset_000159.png
222,297,comic_book_guy,5,dataset_000160.png
204,403,kent_brockman,8,dataset_000161.png
273,319,charles_montgomery_burns,3,dataset_000162.png
191,314,principal_skinner,16,dataset_000163.png
230,338,principal_skinner,16,dataset_000164.png
168,265,bart_simpson,2,dataset_000165.png
214,401,krusty_the_clown,9,dataset_000166.png
176,278,bart_simpson,2,dataset_000167.png
289,351,bart_simpson,2,dataset_000168.png
152,159,sideshow_bob,17,dataset_000169.png
170,274,edna_krabappel,6,dataset_000170.png
162,282,marge_simpson,11,dataset_000171.png
385,366,milhouse_van_houten,12,dataset_000172.png
147,142,chief_wiggum,4,dataset_000173.png
210,314,abraham_grampa_simpson,0,dataset_000174.png
165,322,homer_simpson,7,dataset_000175.png
298,339,homer_simpson,7,dataset_000176.png
325,357,principal_skinner,16,dataset_000177.png
224,393,homer_simpson,7,dataset_000178.png
256,402,moe_szyslak,13,dataset_000179.png
268,320,kent_brockman,8,dataset_000180.png
227,305,krusty_the_clown,9,dataset_000181.png
173,349,marge_simpson,11,dataset_000182.png
147,210,ned_flanders,14,dataset_000183.png
141,207,homer_simpson,7,dataset_000184.png
232,313,homer_simpson,7,dataset_000185.png
138,216,homer_simpson,7,dataset_000186.png
193,275,charles_montgomery_burns,3,dataset_000187.png
290,280,marge_simpson,11,dataset_000188.png
